date,no2,month,dayofmonth,dayofweek
24/1/2013,71.39191786,1,24,3
24/1/2013,70.08950571,1,24,3
24/1/2013,67.43177857,1,24,3
24/1/2013,67.84825615,1,24,3
24/1/2013,67.81265385,1,24,3
24/1/2013,68.39024714,1,24,3
24/1/2013,71.66195571,1,24,3
24/1/2013,74.364625,1,24,3
24/1/2013,82.576935,1,24,3
24/1/2013,91.32631429,1,24,3
24/1/2013,87.82063429,1,24,3
24/1/2013,87.98995929,1,24,3
24/1/2013,88.71732357,1,24,3
24/1/2013,85.94829571,1,24,3
24/1/2013,85.49117571,1,24,3
24/1/2013,86.19118357,1,24,3
25/1/2013,86.20172,1,25,4
25/1/2013,85.17102571,1,25,4
25/1/2013,82.94505643,1,25,4
25/1/2013,81.73396643,1,25,4
25/1/2013,76.15086571,1,25,4
25/1/2013,70.08971,1,25,4
25/1/2013,76.68291786,1,25,4
25/1/2013,92.47183429,1,25,4
25/1/2013,92.08643286,1,25,4
25/1/2013,79.30037857,1,25,4
25/1/2013,68.64836857,1,25,4
25/1/2013,66.66012,1,25,4
25/1/2013,62.37967143,1,25,4
25/1/2013,60.59708429,1,25,4
25/1/2013,57.52110143,1,25,4
25/1/2013,57.28231214,1,25,4
25/1/2013,60.82334,1,25,4
25/1/2013,60.63963786,1,25,4
25/1/2013,60.66607071,1,25,4
25/1/2013,60.00667,1,25,4
25/1/2013,51.46711714,1,25,4
25/1/2013,40.38032071,1,25,4
25/1/2013,37.30782143,1,25,4
25/1/2013,36.09082143,1,25,4
26/1/2013,34.67230385,1,26,5
26/1/2013,31.444985,1,26,5
26/1/2013,30.98024571,1,26,5
26/1/2013,30.32063929,1,26,5
26/1/2013,36.91131929,1,26,5
26/1/2013,47.31173143,1,26,5
26/1/2013,52.90162929,1,26,5
26/1/2013,58.222205,1,26,5
26/1/2013,63.03719429,1,26,5
26/1/2013,70.81243,1,26,5
26/1/2013,62.56098357,1,26,5
26/1/2013,54.72919429,1,26,5
26/1/2013,50.77352929,1,26,5
26/1/2013,51.23689929,1,26,5
26/1/2013,54.06685357,1,26,5
26/1/2013,62.26201643,1,26,5
26/1/2013,64.32734929,1,26,5
26/1/2013,67.25364143,1,26,5
26/1/2013,58.25119857,1,26,5
26/1/2013,49.75081929,1,26,5
26/1/2013,38.21359286,1,26,5
26/1/2013,31.93892,1,26,5
26/1/2013,29.30503429,1,26,5
26/1/2013,26.28249786,1,26,5
27/1/2013,22.32222417,1,27,6
27/1/2013,19.076585,1,27,6
27/1/2013,17.05998929,1,27,6
27/1/2013,15.12725077,1,27,6
27/1/2013,14.97255071,1,27,6
27/1/2013,16.05007571,1,27,6
27/1/2013,20.69560385,1,27,6
27/1/2013,25.41569071,1,27,6
27/1/2013,26.30080357,1,27,6
27/1/2013,26.21371571,1,27,6
27/1/2013,25.65963786,1,27,6
27/1/2013,25.19434214,1,27,6
27/1/2013,26.67558571,1,27,6
27/1/2013,29.00343929,1,27,6
27/1/2013,31.38962286,1,27,6
27/1/2013,36.29880714,1,27,6
27/1/2013,34.89581786,1,27,6
27/1/2013,46.19640429,1,27,6
27/1/2013,52.94674214,1,27,6
27/1/2013,47.51879357,1,27,6
27/1/2013,41.47495357,1,27,6
27/1/2013,37.07538429,1,27,6
27/1/2013,39.21926357,1,27,6
27/1/2013,38.54923714,1,27,6
28/1/2013,33.75503846,1,28,0
28/1/2013,25.93548143,1,28,0
28/1/2013,20.70305143,1,28,0
28/1/2013,21.29384357,1,28,0
28/1/2013,26.16839571,1,28,0
28/1/2013,35.50662,1,28,0
28/1/2013,60.06073214,1,28,0
28/1/2013,78.81743714,1,28,0
28/1/2013,77.56956714,1,28,0
28/1/2013,69.56169,1,28,0
28/1/2013,64.958575,1,28,0
28/1/2013,58.25150571,1,28,0
28/1/2013,54.34523308,1,28,0
28/1/2013,49.29240769,1,28,0
28/1/2013,47.66873308,1,28,0
28/1/2013,42.19545077,1,28,0
28/1/2013,38.78143429,1,28,0
28/1/2013,33.22832,1,28,0
28/1/2013,34.99864857,1,28,0
28/1/2013,34.33787857,1,28,0
28/1/2013,33.08082,1,28,0
28/1/2013,34.56669571,1,28,0
28/1/2013,31.33142929,1,28,0
28/1/2013,23.58426643,1,28,0
29/1/2013,23.33107846,1,29,1
29/1/2013,17.61440929,1,29,1
29/1/2013,16.58625857,1,29,1
29/1/2013,15.57253143,1,29,1
29/1/2013,17.65869214,1,29,1
29/1/2013,25.05422857,1,29,1
29/1/2013,49.01484929,1,29,1
29/1/2013,69.12369357,1,29,1
